442773438202388480,312281953,en
442773442413473792,115344598,tr
442773442430251009,160145944,pt
442773450810462208,2380999669,en
442773450814685184,1975680840,en
442773450818859008,2180989528,tr
442773450810478592,2196679530,en
442773455000584192,93860528,tr
442773454992211968,1582474164,tr
442773455004385280,2316586249,en
442773455000571904,117956917,es
442773455000199168,525578457,tr
442773454983823360,217665903,es
442773454996406272,162573857,es
442773455012786176,609237088,en
442773455017369600,753767124,es
442773454996398080,1520468995,en
442773454987997184,2175160612,en
442773454979596289,375038274,en
442773455008591872,2283978936,en
442773459194904576,450451093,en
442773459203260416,325758722,es
442773459194896384,256787342,es
442773459211284480,963620936,en
442773459211653120,103977502,es
442773459194896385,2269430017,en
442773459177709568,1923915716,en
442773467591876608,332533121,en
442773467570900992,546400212,en
442773467570532353,364969874,en
442773467574714368,2371240702,tr
442773467583094784,378118344,es
442773467570507776,366511883,en
442773467599884289,138950623,en
442773467595694080,2367514280,en
442773467574726656,16929281,en
442773467562119169,1528024914,es
442773475976314880,137743745,en
442773475967516672,2307833204,es
442773475950731264,334384987,es
442773475955322880,215972112,nl
442773475972096001,2355274955,tr
442773480162226176,45493902,en
442773480149630976,2197066620,en
442773480149643265,312175437,en
442773484343934976,79809941,de
442773484348145664,288969835,es
442773488542441472,49935891,en
442773496926834688,1588494577,en
442773496939421697,272971346,en
442773496935227392,2198358914,tr
442773496939421698,878809027,es
442773496935219202,1248634460,es
442773496931024896,2200840199,tr
442773496955822080,731279228,es
442773501142126592,923673584,pt
442773501124935681,216208177,en
442773501150515201,266525359,es
442773501133332480,2251113984,es
442773513737220097,171750243,en
442773517898383361,2379568621,es
442773517931929600,2218475726,tr
442773517898358784,976131650,en
442773517927735296,144875138,tr
442773517915160577,1601482963,tr
442773517915127808,165258791,en
442773517915136000,315443069,pt
442773526282792961,2377620942,tr
442773530493870080,302579100,tr
442773538874081280,2220036857,tr
442773543068389376,193158576,en
442773543072198656,2197298831,en
442773543072174080,2155652196,es
442773543068385280,2152794010,fr
442773547253907456,302056032,en
442773547271086081,1170548990,es
442773547274866688,554176517,en
442773551452389377,367375639,pt
442773551461199872,244251765,es
442773555668090880,385874355,en
442773555655081985,314431764,tr
442773555663867905,487824156,es
442773555647090688,1434527347,es
442773555647119360,395441127,en
442773555668074496,183826726,es
442773559849811968,461438290,en
442773559862390784,52595487,pt
442773559862374400,261133515,es
442773559849803776,2148886595,en
442773559841406976,166230221,en
442773564069261313,437841333,es
442773564069261312,1320449624,pt
442773564069269504,2232544857,es
442773564052471810,494497281,de
442773564065079296,360062830,pt
442773564065079297,2284016537,tr
442773568250974208,2381016385,en
